2024-04-06 09:53:29,235, WARNING, root, 0
2024-04-06 09:53:29,235, WARNING, root, 1
2024-04-06 09:53:29,235, WARNING, root, 2
2024-04-06 09:53:29,235, WARNING, root, 3
2024-04-06 09:53:29,235, WARNING, root, 4
2024-04-06 09:53:29,235, WARNING, root, 5
2024-04-06 09:53:29,235, WARNING, root, 6
2024-04-06 09:53:29,235, WARNING, root, 7
2024-04-06 09:53:29,235, WARNING, root, 8
2024-04-06 09:53:29,235, WARNING, root, 9
2024-04-06 09:59:21,571, DEBUG, root, 0
2024-04-06 09:59:21,572, DEBUG, root, 1
2024-04-06 09:59:21,572, DEBUG, root, 2
2024-04-06 09:59:21,572, DEBUG, root, 3
2024-04-06 09:59:21,572, DEBUG, root, 4
2024-04-06 09:59:21,572, DEBUG, root, 5
2024-04-06 09:59:21,572, DEBUG, root, 6
2024-04-06 09:59:21,572, DEBUG, root, 7
2024-04-06 09:59:21,572, DEBUG, root, 8
2024-04-06 09:59:21,572, DEBUG, root, 9
